n,t,GrossOutput,Expenditure,IntermediateUse,FinalExpenditure,ValueAdded,Deficit,GrossOutputManuf,ExpenditureManuf,IntermediateUseManuf,FinalExpenditureManuf,ValueAddedManuf,DeficitManuf,α,β
ESP,2001,1.1803363168000137e6,1.205488708671966e6,577838.3563388431,627650.3523331248,602497.9604611705,-25152.391871954314,350936.38200000086,370558.78938143636,228121.79565368424,142436.99372775143,122814.58634631662,19622.407381435507,0.2269368497895037,0.34996253636169394
ESP,2002,1.3594484591999922e6,1.3835881656134794e6,677573.2106610282,706014.9549524437,681875.2485389641,-24139.70641347964,385525.8480000018,404234.2318908619,254281.37049346312,149952.8613973976,131244.47750653868,18708.383890860074,0.21239332162234187,0.3404297745206907
ESP,2003,1.7509245264000138e6,1.7837385529851874e6,878863.2441977646,904875.3087874275,872061.2822022493,-32814.02658517822,479997.571199998,507564.5938957092,321206.06564141234,186358.5282542971,158791.5055585857,27567.022695711174,0.20594940147502275,0.3308173105159794
ESP,2004,2.0913616065999966e6,2.144378186673004e6,1.0650556447496351e6,1.0793225419233772e6,1.0263059618503614e6,-53016.580073015764,570963.7829000084,611706.0142152177,388989.20503637573,222716.80917884302,181974.57786363264,40742.2313152093,0.20634870534803862,0.3187147474387206
ESP,2005,2.308764701099999e6,2.376701776304611e6,1.2010258093972236e6,1.1756759669073848e6,1.1077388917027751e6,-67937.07520460966,618415.9839000016,665431.4981609345,427127.97327657073,238303.5248843621,191288.0106234309,47015.51426093292,0.2026949019900606,0.30931931839323595
ESP,2006,2.578264107200015e6,2.66195286834398e6,1.367718826498002e6,1.294234041845998e6,1.2105452807020128e6,-83688.7611439852,681671.5179999997,737776.0401533768,478686.8428201228,259089.19733325433,202984.6751798769,56104.52215337707,0.2001872837185684,0.29777491037828135
ESP,2007,3.0364743179999967e6,3.1298266938485103e6,1.6115978932733943e6,1.518228800575091e6,1.4248764247266024e6,-93352.37584848865,800583.0570000025,865153.2635281092,564055.7981776578,301097.4653504512,236527.2588223447,64570.206528106704,0.19832153443301712,0.29544374784631994
ESP,2008,3.313043186000037e6,3.4015606876574224e6,1.7187869788502208e6,1.6827737088072088e6,1.5942562071498162e6,-88517.5016573926,867079.2532000028,915187.6503153031,587596.2577942616,327591.3925210435,279482.99540574127,48108.39711530029,0.19467346726806678,0.32232693190881245
ESP,2009,2.8647727459999844e6,2.891866324428529e6,1.4131736982490174e6,1.4786926261794716e6,1.451599047750967e6,-27093.578428504523,655369.096799994,670984.1146037375,433645.70881171245,237338.40579202375,221723.38798828155,15615.017803743482,0.16050557201008017,0.3383183446868372
ESP,2010,2.7021941954999827e6,2.7279955223890706e6,1.3483585606110853e6,1.3796369617779895e6,1.3538356348888974e6,-25801.326889092103,673897.0581000006,685970.6418801476,459153.4775525686,226817.16432757798,214743.580547432,12073.583780147019,0.1644035138311098,0.31865932335850305
ESP,2011,2.8302116159999706e6,2.8492631755524985e6,1.4162679651083287e6,1.432995210444134e6,1.4139436508916419e6,-19051.55955249211,749941.3920000022,749167.1589584644,503609.20287119324,245557.95608727407,246332.18912880897,-774.2330415378092,0.17135992800085306,0.3284685866876491
